"Variable","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-42.5233947083928,0.844931729854677,-50.327610155801,0
"past_spend",0.359797744950744,0.00803227780065765,44.7939866971838,1.44198110671689e-302
"age",1.47906875320115,0.0211912658847478,69.7961490948822,0
"time_web",0.338223041350961,0.00506632309079854,66.7590746364443,0
"voucher",0.104570072298881,0.199450189738649,0.524291666184449,0.600134826195964
"ad_channel1",-0.078822905216493,0.248071394299709,-0.317742823347309,0.750713785637965
"ad_channel2",-0.0258361255956771,0.244003124362769,-0.105884404813053,0.915684875255705
"ad_channel3",0.278945943261643,0.246792309978926,1.13028620415872,0.258493588486012
